"key","message","comment","context"
"%d days","%d ngày",,
"%d hours","%d giờ",,
"%d minutes","%d phút",,
"%d months","%d tháng",,
"%d years","%d năm",,
"%s ago","%S trước",,
"(end)","(Kết thúc)",,
"(start)","(Bắt đầu)",,
"({0} items)","({0} hạng mục)",,
"A server error occurred. Please contact the administrator.","Một lỗi máy chủ đã xảy ra. Vui lòng liên hệ với quản trị viên.",,
"About","Về",,
"Action","Hành động",,
"Action Category","Danh mục hành động",,
"Action Sub-Category","Danh mục phụ Hành động",,
"Action…","Hành động...",,
"Active Users","Người dùng đang hoạt động",,
"Adblocker detected!","Đã phát hiện trình chặn quảng cáo!",,
"Add","Thêm",,
"Add Field","Thêm trường",,
"Add and new","Thêm và mới",,
"Add filter","Thêm bộ lọc",,
"Add followers","Thêm người theo dõi",,
"Add some tags","Thêm một số thẻ",,
"Add to favorites...","Thêm vào mục yêu thích...",,
"Advanced Search","Tìm kiếm nâng cao",,
"Alert","Báo động",,
"All Day","Cả ngày",,
"Alt","Alt",,
"Apply","Áp dụng",,
"Apply as default for all users","Áp dụng làm mặc định cho tất cả người dùng",,
"Apr","Tháng 4",,
"April","Tháng 4",,
"Archive","Lưu trữ",,
"Are you sure to unfollow this document?","Bạn có chắc bỏ theo dõi tài liệu này không?",,
"Are you sure to unfollow this group?","Bạn có chắc bỏ theo dõi nhóm này không?",,
"Are you sure you want to delete the {0} selected documents?","Bạn có chắc muốn xóa {0} tài liệu đã chọn không?",,
"Are you sure you want to delete {0}?","Bạn có chắc muốn xóa {0} không?",,
"Are you sure you want to reset this view customization?","Bạn có chắc chắn muốn đặt lại tùy chỉnh chế độ xem này không?",,
"Attached to...","Đính kèm với...",,
"Attachments","Đính kèm",,
"Attributes","Thuộc tính",,
"Aug","Tháng 8",,
"August","Tháng 8",,
"Authentication error","Lỗi xác thực",,
"Back","Quay lại",,
"Background color","Màu nền",,
"Blockquote",,,
"Bold (Ctrl+B)","In đậm (Ctrl + B)",,
"Calendar","Lịch",,
"Cancel","Hủy bỏ",,
"Cancelled","Bị hủy",,
"Cards","Thẻ",,
"Center","Trung tâm",,
"Change password","Đổi mật khẩu",,
"Chart","Đồ thị",,
"Clear","Làm sạch",,
"Close","Đóng",,
"Close All","Đóng tất cả",,
"Close Others","Đóng các phần khác",,
"Code","Mã",,
"Collapse","Thu gọn",,
"Columns","Cột",,
"Concurrent updates error","Lỗi cập nhật đồng thời",,
"Confirm","Xác nhận",,
"Confirm new password","Xác nhận mật khẩu mới",,
"Confirm password doesn't match.","Xác nhận mật khẩu không khớp.",,
"Create","Tạo ra",,
"Create ""{0}"" and select...","Tạo ""{0}"" và chọn ...",,
"Create ""{0}""...","Tạo ""{0}"" ...",,
"Create document","Tạo tài liệu",,
"Create folder","Tạo thư mục",,
"Create spreadsheet","Tạo trang tính",,
"Create...","Tạo ra...",,
"Created","Tạo",,
"Created By:","Được tạo bởi:",,
"Created On:","Được tạo vào:",,
"Ctrl",,,
"Current changes will be lost.","Những thay đổi hiện tại sẽ bị mất.",,
"Current changes will be lost. Do you really want to proceed?","Những thay đổi hiện tại sẽ bị mất. Bạn có thực sự muốn tiến hành?",,
"Current password","Mật khẩu hiện tại",,
"Custom ({0})","Tùy chỉnh ({0})",,
"Customize…","Tùy chỉnh…",,
"Day","Ngày",,
"Days","Ngày",,
"Dec","Tháng 12",,
"December","Tháng 12",,
"Delete","Xóa bỏ",,
"Delete...","Xóa bỏ...",,
"Description","Mô tả",,
"Details","Thông tin chi tiết",,
"Directory","Danh bạ",,
"Display process","Quy trình hiển thị",,
"Do you really want to archive the selected record(s)?","Bạn có thực sự muốn lưu trữ (các) bản ghi đã chọn?",,
"Do you really want to archive the selected record?","Bạn có thực sự muốn lưu trữ bản ghi đã chọn?",,
"Do you really want to delete the selected record(s)?","Bạn có thực sự muốn xóa (các) bản ghi đã chọn?",,
"Do you really want to delete the selected record?","Bạn có thực sự muốn xóa bản ghi đã chọn?",,
"Do you really want to unarchive the selected record(s)?","Bạn có thực sự muốn hủy lưu trữ (các) bản ghi đã chọn không?",,
"Do you really want to unarchive the selected record?","Bạn có thực sự muốn hủy lưu trữ bản ghi đã chọn không?",,
"Do you really want to update all {0} record(s)?","Bạn có thực sự muốn cập nhật tất cả {0} bản ghi không?",,
"Document","Tài liệu",,
"Domain","Tên miền",,
"Download","Tải xuống",,
"Downloading file…","Tải tập tin…",,
"Downloading {0}…","Đang tải xuống {0}…",,
"Drop your files to start upload.","Thả tập tin của bạn để bắt đầu tải lên.",,
"Duplicate","Nhân bản",,
"Duration","Khoảng thời gian",,
"Edit","Chỉnh sửa",,
