"key","message","comment","context"
"<i class=""fa fa-exclamation-triangle"" aria-hidden=""true""></i> The scheduler service is disabled.","<i class = ""fa fa-exclamation-tam giác"" aria-hidden = ""true""> </i> Dịch vụ Lập lịch bị vô hiệu hóa.",,
"A views restoring is already in progress. Please wait until it ends and try again.","Đang khôi phục chế độ xem. Vui lòng đợi cho đến khi nó kết thúc và thử lại.",,
"Access error","Lỗi truy cập",,
"Action","Hành động",,
"Action Menu","Menu hành động",,
"Action Menus","Menu hành động",,
"Action name can't be changed.","Tên hành động không thể thay đổi.",,
"Actions","Hành động",,
"Activate on","Kích hoạt trên",,
"Activate the user from the specified date.","Kích hoạt người dùng từ ngày được chỉ định.",,
"Active","Hoạt động",,
"Address","Địa chỉ",,
"Administration","Quản trị",,
"All Actions","Tất cả các hành động",,
"All Charts","Tất cả các biểu đồ",,
"All Custom Views","Tất cả chế độ xem tùy chỉnh",,
"All Documents","Tất cả các tài liệu",,
"All Menu Help","Tất cả menu trợ giúp",,
"All Menus","Tất cả các menu",,
"All Models","Tất cả các mô hình",,
"All Modules","Tất cả các mô -đun",,
"All Schedules","Tất cả các lịch trình",,
"All Selects","Tất cả các lựa chọn",,
"All Teams","Tất cả các đội",,
"All Translations","Tất cả các bản dịch",,
"All View Help","Xem tất cả trợ giúp",,
"All Views","Tất cả chế độ xem",,
"All jobs have been restarted.","Tất cả các công việc đã được khởi động lại.",,
"All the customizations will be lost. Are you sure?","Tất cả các tùy chỉnh sẽ bị mất. Bạn có chắc không?",,
"All views have been restored (%s).","Tất cả các chế độ xem đã được khôi phục ( %s).",,
"Allow","Cho phép",,
"Amber",,,
"An unique permission name.","Tên quyền duy nhất.",,
"Application","Ứng dụng",,
"Archived","Lưu trữ",,
"Assigned to","Được giao cho",,
"Attached to","Đính kèm với",,
"Attributes","Thuộc tính",,
"Attrs","Thuộc tính",,
"Author","Tác giả",,
"Authorization","Ủy quyền",,
"Authorized roles","Vai trò ủy quyền",,
"Black","Màu đen",,
"Block the user","Chặn người dùng",,
"Block the user for an indefinite period.","Chặn người dùng trong một khoảng thời gian không xác định.",,
"Blue","Màu xanh da trời",,
"Blue Grey","Xanh xám",,
"Body","Phần thân",,
"Boolean","Boolean",,
"Brown","Màu nâu",,
"Button","Nút",,
"Calendar","Lịch",,
"Can customize","Có thể tùy chỉnh",,
"Can read","Có thể đọc",,
"Can share","Có thể chia sẻ",,
"Can write","Có thể viết",,
"Canceled","Hủy bỏ",,
"Cannot delete a task while scheduler is running...","Không thể xóa một tác vụ trong khi đang lập lịch...",,
"Cards","Thẻ",,
"Category","Danh mục",,
"Category name to group action menus.","Tên danh mục để nhóm các menu tác vụ.",,
"Change password?","Đổi mật khẩu?",,
"Chart","Đồ thị",,
"Client side js expression","Biểu thức phía máy khách JS",,
"Closed","Đóng",,
"Code","Mã",,
"Code length should be greater than 2.","Độ dài mã phải lớn hơn 2.",,
"Collapse","Thu gọn",,
"Color","Màu sắc",,
"Column sequence","Trình tự cột",,
"Come back later. There are no messages in this folder...","Quay lại sau. Không có tin nhắn trong thư mục này ...",,
"Comma separated list of params for the condition.","Danh sách các tham số được phân tách bằng dấu phẩy cho điều kiện.",,
"Comment","Nhận xét",,
"Computed","Tính",,
"Concurrent updates error","Lỗi cập nhật đồng thời",,
"Condition","Điều kiện",,
"Condition params","Điều kiện tham số",,
"Condition to check","Điều kiện để kiểm tra",,
"Conditions","Điều kiện",,
"Configuration","Cấu hình",,
"Confirm new password","Xác nhận mật khẩu mới",,
"Confirm new password of the user (must be identical to the new password)","Xác nhận mật khẩu mới của người dùng (phải giống hệt với mật khẩu mới)",,
"Confirm password","Xác nhận mật khẩu",,
"Confirm password of the new user (must be identical to the password)","Xác nhận mật khẩu của người dùng mới (phải giống hệt với mật khẩu)",,
"Content","Nội dung",,
"Content type","Loại nội dung",,
"Context field","Trường ngữ cảnh",,
"Context field target","Mục tiêu trường ngữ cảnh",,
"Context field target name","Tên mục tiêu trường ngữ cảnh",,
"Context field title","Tiêu đề trường ngữ cảnh",,
"Context field value","Giá trị trường ngữ cảnh",,
"Create","Tạo",,
"Created","Tạo",,
"Created by","Được tạo bởi",,
"Created on","Được tạo vào",,
"Cron",,,
"Current password","Mật khẩu hiện tại",,
"Current password of the logged in user","Mật khẩu hiện tại của người dùng đã đăng nhập",,
"Current password of the user","Mật khẩu hiện tại của người dùng",,
"Custom","Tùy chỉnh",,
"Custom Fields","Trường tùy chỉnh",,
"Custom Models","Mô hình tùy chỉnh",,
"Custom field","Trường tùy chỉnh",,
"Custom fields","Trường tùy chỉnh",,
"Custom model","Mô hình tùy chỉnh",,
"Custom models","Mô hình tùy chỉnh",,
"Custom-ManyToMany","M2M",,
"Custom-ManyToOne","M2O",,
"Custom-OneToMany","O2M",,
"Cyan","Cyan",,
"Dashboard","Bảng thông tin",,
"Data","Dữ liệu",,
"Date","Ngày",,
"DateTime","Ngày giờ",,
"Decimal",,,
"Deep Orange","Cam đậm",,
"Deep Purple","Tím đậm",,
"Default","Mặc định",,
"Default home action.","Tác vụ mặc định ở trang chủ",,
"Default value","Giá trị mặc định",,
"Dependent features","Các tính năng phụ thuộc",,
"Dependent modules","Các mô - đun phụ thuộc",,
"Depends","Phụ thuộc",,
"Depends On","Phụ thuộc",,
"Description","Mô tả",,
"Details","Thông tin chi tiết",,
"Directories","Danh bạ",,
"Directory","Danh bạ",,
"Disable the user from the specified date.","Vô hiệu hóa người dùng từ ngày được chỉ định.",,
"Document","Tài liệu",,
"Documents","Tài liệu",,
"Domain","Tên miền",,
"Domain filter as condition.","Bộ lọc tên miền dưới dạng điều kiện.",,
"Download","Tải xuống",,
"Email","E-mail",,
"Encryption error","Lỗi mã hóa",,
"Encryption key might be wrong.","Khóa mã hóa có thể bị sai.",,
"English","Tiếng Anh",,
"Enum","Enum",,
"Enum type","Loại enum",,
"Expires on","Hết hạn vào",,
"Export","Xuất",,
"Export complete.","Đã xuất xong.",,
"Extension","Mở rộng",,
"Favorite","Yêu thích",,
"Favorites","Yêu thích",,
"Field","Trường",,
"Field is required.","Trường bắt buộc",,
"Fields","Trường",,
"File","Tập tin",,
"File added","Tệp được thêm vào",,
"File name","Tên tệp",,
"File path","Đường dẫn tệp",,
